set_id,error_type,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
bl_span_relative__ni_k5_r2,within_hand_finger_error,1800,624,0.3466666666666667,111,58,0.5225225225225225,0.09294871794871795,0.335109532267614,1.5072765072765073
bl_span_relative__ni_k5_r4,exact_error,1800,624,0.3466666666666667,392,60,0.15306122448979592,0.09615384615384616,0.4005681818181818,0.4415227629513344
bl_span_relative__ni_k5_r4,hand_error,1800,624,0.3466666666666667,281,2,0.0071174377224199285,0.003205128205128205,0.40947992100065833,0.02053107035313441
bl_span_relative__ni_k5_r4,within_hand_finger_error,1800,624,0.3466666666666667,111,58,0.5225225225225225,0.09294871794871795,0.335109532267614,1.5072765072765073
bl_crossing__ni_k2_r1,exact_error,1800,95,0.05277777777777778,392,12,0.030612244897959183,0.12631578947368421,0.05894886363636364,0.5800214822771215
bl_crossing__ni_k2_r1,hand_error,1800,95,0.05277777777777778,281,0,0.0,0.0,0.06254114549045425,0.0
bl_crossing__ni_k2_r1,within_hand_finger_error,1800,95,0.05277777777777778,111,12,0.10810810810810811,0.12631578947368421,0.04914150384843102,2.0483641536273116
bl_crossing__ni_k2_r2,exact_error,1800,151,0.08388888888888889,392,19,0.04846938775510204,0.12582781456953643,0.09375,0.5777807811866469
bl_crossing__ni_k2_r2,hand_error,1800,151,0.08388888888888889,281,0,0.0,0.0,0.09940750493745885,0.0
bl_crossing__ni_k2_r2,within_hand_finger_error,1800,151,0.08388888888888889,111,19,0.17117117117117117,0.12582781456953643,0.07815275310834814,2.0404510470735637
bl_crossing__ni_k2_r4,exact_error,1800,246,0.13666666666666666,392,26,0.0663265306122449,0.10569105691056911,0.15625,0.4853160776505725
bl_crossing__ni_k2_r4,hand_error,1800,246,0.13666666666666666,281,0,0.0,0.0,0.1619486504279131,0.0
bl_crossing__ni_k2_r4,within_hand_finger_error,1800,246,0.13666666666666666,111,26,0.23423423423423423,0.10569105691056911,0.13025458851391356,1.7139090309822018
bl_crossing__ni_k3_r1,exact_error,1800,43,0.02388888888888889,392,8,0.02040816326530612,0.18604651162790697,0.024857954545454544,0.8542952064546749
bl_crossing__ni_k3_r1,hand_error,1800,43,0.02388888888888889,281,0,0.0,0.0,0.028308097432521395,0.0
bl_crossing__ni_k3_r1,within_hand_finger_error,1800,43,0.02388888888888889,111,8,0.07207207207207207,0.18604651162790697,0.020722320899940794,3.0169704588309236
bl_crossing__ni_k3_r2,exact_error,1800,58,0.03222222222222222,392,10,0.025510204081632654,0.1724137931034483,0.03409090909090909,0.7916959887403238
bl_crossing__ni_k3_r2,hand_error,1800,58,0.03222222222222222,281,0,0.0,0.0,0.03818301514154049,0.0
bl_crossing__ni_k3_r2,within_hand_finger_error,1800,58,0.03222222222222222,111,10,0.09009009009009009,0.1724137931034483,0.028419182948490232,2.7958993476234855
bl_crossing__ni_k3_r4,exact_error,1800,89,0.049444444444444444,392,14,0.03571428571428571,0.15730337078651685,0.053267045454545456,0.7223113964686999
bl_crossing__ni_k3_r4,hand_error,1800,89,0.049444444444444444,281,0,0.0,0.0,0.05859117840684661,0.0
bl_crossing__ni_k3_r4,within_hand_finger_error,1800,89,0.049444444444444444,111,14,0.12612612612612611,0.15730337078651685,0.04440497335701599,2.5508654722137867
bl_crossing__ni_k5_r1,exact_error,1800,28,0.015555555555555555,392,7,0.017857142857142856,0.25,0.014914772727272728,1.1479591836734695
bl_crossing__ni_k5_r1,hand_error,1800,28,0.015555555555555555,281,0,0.0,0.0,0.018433179723502304,0.0
bl_crossing__ni_k5_r1,within_hand_finger_error,1800,28,0.015555555555555555,111,7,0.06306306306306306,0.25,0.012433392539964476,4.054054054054054
bl_crossing__ni_k5_r2,exact_error,1800,28,0.015555555555555555,392,7,0.017857142857142856,0.25,0.014914772727272728,1.1479591836734695
bl_crossing__ni_k5_r2,hand_error,1800,28,0.015555555555555555,281,0,0.0,0.0,0.018433179723502304,0.0
bl_crossing__ni_k5_r2,within_hand_finger_error,1800,28,0.015555555555555555,111,7,0.06306306306306306,0.25,0.012433392539964476,4.054054054054054
bl_crossing__ni_k5_r4,exact_error,1800,28,0.015555555555555555,392,7,0.017857142857142856,0.25,0.014914772727272728,1.1479591836734695
bl_crossing__ni_k5_r4,hand_error,1800,28,0.015555555555555555,281,0,0.0,0.0,0.018433179723502304,0.0
bl_crossing__ni_k5_r4,within_hand_finger_error,1800,28,0.015555555555555555,111,7,0.06306306306306306,0.25,0.012433392539964476,4.054054054054054
bl_step_crossing__ni_k2_r1,exact_error,1800,77,0.042777777777777776,392,8,0.02040816326530612,0.1038961038961039,0.049005681818181816,0.47707394646170165
bl_step_crossing__ni_k2_r1,hand_error,1800,77,0.042777777777777776,281,0,0.0,0.0,0.05069124423963134,0.0
bl_step_crossing__ni_k2_r1,within_hand_finger_error,1800,77,0.042777777777777776,111,8,0.07207207207207207,0.1038961038961039,0.04085257548845471,1.684801684801685
bl_step_crossing__ni_k2_r2,exact_error,1800,133,0.07388888888888889,392,15,0.03826530612244898,0.11278195488721804,0.08380681818181818,0.5178763234617155
