set_id,recording_id,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
bl_hmm_disagreement,2024-09-05_13-25-10,150,77,0.5133333333333333,14,4,0.2857142857142857,0.05194805194805195,0.5367647058823529,0.5565862708719852
bl_practical_or_rate995,2024-02-15_20-07-54,150,9,0.06,59,0,0.0,0.0,0.0989010989010989,0.0
bl_practical_or_rate995,2024-02-15_21-40-43,150,11,0.07333333333333333,20,1,0.05,0.09090909090909091,0.07692307692307693,0.6818181818181819
bl_practical_or_rate995,2024-02-15_21-57-38,150,6,0.04,47,0,0.0,0.0,0.05825242718446602,0.0
bl_practical_or_rate995,2024-02-17_21-44-37,150,13,0.08666666666666667,47,4,0.0851063829787234,0.3076923076923077,0.08737864077669903,0.9819967266775778
bl_practical_or_rate995,2024-02-17_22-33-45,300,18,0.06,82,4,0.04878048780487805,0.2222222222222222,0.06422018348623854,0.8130081300813008
bl_practical_or_rate995,2024-02-22_11-58-09,150,5,0.03333333333333333,13,1,0.07692307692307693,0.2,0.029197080291970802,2.307692307692308
bl_practical_or_rate995,2024-03-11_22-23-29,150,16,0.10666666666666667,21,3,0.14285714285714285,0.1875,0.10077519379844961,1.3392857142857142
bl_practical_or_rate995,2024-04-08_22-49-18,150,4,0.02666666666666667,32,1,0.03125,0.25,0.025423728813559324,1.171875
bl_practical_or_rate995,2024-09-02_14-10-41,150,10,0.06666666666666667,25,0,0.0,0.0,0.08,0.0
bl_practical_or_rate995,2024-09-04_19-52-57,150,7,0.04666666666666667,32,0,0.0,0.0,0.059322033898305086,0.0
bl_practical_or_rate995,2024-09-05_13-25-10,150,40,0.26666666666666666,14,1,0.07142857142857142,0.025,0.2867647058823529,0.26785714285714285
bl_practical_or_crossing,2024-02-15_20-07-54,150,9,0.06,59,0,0.0,0.0,0.0989010989010989,0.0
bl_practical_or_crossing,2024-02-15_21-40-43,150,11,0.07333333333333333,20,1,0.05,0.09090909090909091,0.07692307692307693,0.6818181818181819
bl_practical_or_crossing,2024-02-15_21-57-38,150,6,0.04,47,0,0.0,0.0,0.05825242718446602,0.0
bl_practical_or_crossing,2024-02-17_21-44-37,150,12,0.08,47,3,0.06382978723404255,0.25,0.08737864077669903,0.7978723404255319
bl_practical_or_crossing,2024-02-17_22-33-45,300,17,0.056666666666666664,82,3,0.036585365853658534,0.17647058823529413,0.06422018348623854,0.6456241032998566
bl_practical_or_crossing,2024-02-22_11-58-09,150,3,0.02,13,1,0.07692307692307693,0.3333333333333333,0.014598540145985401,3.846153846153846
bl_practical_or_crossing,2024-03-11_22-23-29,150,16,0.10666666666666667,21,3,0.14285714285714285,0.1875,0.10077519379844961,1.3392857142857142
bl_practical_or_crossing,2024-04-08_22-49-18,150,4,0.02666666666666667,32,1,0.03125,0.25,0.025423728813559324,1.171875
bl_practical_or_crossing,2024-09-02_14-10-41,150,9,0.06,25,0,0.0,0.0,0.072,0.0
bl_practical_or_crossing,2024-09-04_19-52-57,150,7,0.04666666666666667,32,0,0.0,0.0,0.059322033898305086,0.0
bl_practical_or_crossing,2024-09-05_13-25-10,150,37,0.24666666666666667,14,1,0.07142857142857142,0.02702702702702703,0.2647058823529412,0.28957528957528955
bl_two_signal_strict,2024-02-15_20-07-54,150,7,0.04666666666666667,59,0,0.0,0.0,0.07692307692307693,0.0
bl_two_signal_strict,2024-02-15_21-40-43,150,8,0.05333333333333334,20,1,0.05,0.125,0.05384615384615385,0.9375
bl_two_signal_strict,2024-02-15_21-57-38,150,3,0.02,47,0,0.0,0.0,0.02912621359223301,0.0
bl_two_signal_strict,2024-02-17_21-44-37,150,13,0.08666666666666667,47,4,0.0851063829787234,0.3076923076923077,0.08737864077669903,0.9819967266775778
bl_two_signal_strict,2024-02-17_22-33-45,300,14,0.04666666666666667,82,4,0.04878048780487805,0.2857142857142857,0.045871559633027525,1.0452961672473868
bl_two_signal_strict,2024-02-22_11-58-09,150,3,0.02,13,1,0.07692307692307693,0.3333333333333333,0.014598540145985401,3.846153846153846
bl_two_signal_strict,2024-03-11_22-23-29,150,13,0.08666666666666667,21,3,0.14285714285714285,0.23076923076923078,0.07751937984496124,1.6483516483516483
bl_two_signal_strict,2024-04-08_22-49-18,150,6,0.04,32,2,0.0625,0.3333333333333333,0.03389830508474576,1.5624999999999998
bl_two_signal_strict,2024-09-02_14-10-41,150,8,0.05333333333333334,25,0,0.0,0.0,0.064,0.0
bl_two_signal_strict,2024-09-04_19-52-57,150,1,0.006666666666666667,32,0,0.0,0.0,0.00847457627118644,0.0
bl_two_signal_strict,2024-09-05_13-25-10,150,10,0.06666666666666667,14,1,0.07142857142857142,0.1,0.0661764705882353,1.0714285714285714
wl_model_agreement,2024-02-15_20-07-54,150,74,0.49333333333333335,59,16,0.2711864406779661,0.21621621621621623,0.6373626373626373,0.549702244617499
wl_model_agreement,2024-02-15_21-40-43,150,97,0.6466666666666666,20,2,0.1,0.020618556701030927,0.7307692307692307,0.15463917525773196
wl_model_agreement,2024-02-15_21-57-38,150,88,0.5866666666666667,47,5,0.10638297872340426,0.056818181818181816,0.8058252427184466,0.18133462282398452
wl_model_agreement,2024-02-17_21-44-37,150,82,0.5466666666666666,47,19,0.40425531914893614,0.23170731707317074,0.6116504854368932,0.7394914374675662
wl_model_agreement,2024-02-17_22-33-45,300,130,0.43333333333333335,82,6,0.07317073170731707,0.046153846153846156,0.5688073394495413,0.16885553470919326
wl_model_agreement,2024-02-22_11-58-09,150,117,0.78,13,7,0.5384615384615384,0.05982905982905983,0.8029197080291971,0.6903353057199211
wl_model_agreement,2024-03-11_22-23-29,150,98,0.6533333333333333,21,11,0.5238095238095238,0.11224489795918367,0.6744186046511628,0.8017492711370262
wl_model_agreement,2024-04-08_22-49-18,150,82,0.5466666666666666,32,15,0.46875,0.18292682926829268,0.5677966101694916,0.8574695121951219
wl_model_agreement,2024-09-02_14-10-41,150,89,0.5933333333333334,25,6,0.24,0.06741573033707865,0.664,0.4044943820224719
wl_model_agreement,2024-09-04_19-52-57,150,75,0.5,32,4,0.125,0.05333333333333334,0.6016949152542372,0.25
wl_model_agreement,2024-09-05_13-25-10,150,77,0.5133333333333333,14,4,0.2857142857142857,0.05194805194805195,0.5367647058823529,0.5565862708719852
wl_strict_obvious,2024-02-15_20-07-54,150,89,0.5933333333333334,59,20,0.3389830508474576,0.2247191011235955,0.7582417582417582,0.5713197486193107
wl_strict_obvious,2024-02-15_21-40-43,150,107,0.7133333333333334,20,3,0.15,0.028037383177570093,0.8,0.2102803738317757
wl_strict_obvious,2024-02-15_21-57-38,150,98,0.6533333333333333,47,6,0.1276595744680851,0.061224489795918366,0.8932038834951457,0.19539730785931392
wl_strict_obvious,2024-02-17_21-44-37,150,89,0.5933333333333334,47,19,0.40425531914893614,0.21348314606741572,0.6796116504854369,0.6813291895768586
wl_strict_obvious,2024-02-17_22-33-45,300,180,0.6,82,11,0.13414634146341464,0.06111111111111111,0.7752293577981652,0.22357723577235772
wl_strict_obvious,2024-02-22_11-58-09,150,138,0.92,13,7,0.5384615384615384,0.050724637681159424,0.9562043795620438,0.5852842809364549
wl_strict_obvious,2024-03-11_22-23-29,150,112,0.7466666666666667,21,11,0.5238095238095238,0.09821428571428571,0.7829457364341085,0.7015306122448979
wl_strict_obvious,2024-04-08_22-49-18,150,108,0.72,32,16,0.5,0.14814814814814814,0.7796610169491526,0.6944444444444443
wl_strict_obvious,2024-09-02_14-10-41,150,104,0.6933333333333334,25,8,0.32,0.07692307692307693,0.768,0.46153846153846156
wl_strict_obvious,2024-09-04_19-52-57,150,104,0.6933333333333334,32,4,0.125,0.038461538461538464,0.847457627118644,0.18028846153846154
wl_strict_obvious,2024-09-05_13-25-10,150,110,0.7333333333333333,14,4,0.2857142857142857,0.03636363636363636,0.7794117647058824,0.3896103896103896
hy_direct_plus_corroborated,2024-02-15_20-07-54,150,9,0.06,59,0,0.0,0.0,0.0989010989010989,0.0
hy_direct_plus_corroborated,2024-02-15_21-40-43,150,11,0.07333333333333333,20,1,0.05,0.09090909090909091,0.07692307692307693,0.6818181818181819
hy_direct_plus_corroborated,2024-02-15_21-57-38,150,6,0.04,47,0,0.0,0.0,0.05825242718446602,0.0
hy_direct_plus_corroborated,2024-02-17_21-44-37,150,13,0.08666666666666667,47,4,0.0851063829787234,0.3076923076923077,0.08737864077669903,0.9819967266775778
hy_direct_plus_corroborated,2024-02-17_22-33-45,300,20,0.06666666666666667,82,4,0.04878048780487805,0.2,0.07339449541284404,0.7317073170731708
hy_direct_plus_corroborated,2024-02-22_11-58-09,150,4,0.02666666666666667,13,1,0.07692307692307693,0.25,0.021897810218978103,2.8846153846153846
hy_direct_plus_corroborated,2024-03-11_22-23-29,150,16,0.10666666666666667,21,3,0.14285714285714285,0.1875,0.10077519379844961,1.3392857142857142
hy_direct_plus_corroborated,2024-04-08_22-49-18,150,6,0.04,32,2,0.0625,0.3333333333333333,0.03389830508474576,1.5624999999999998
