video_name,video_duration,midi_file,midi_duration,duration_diff,duration_diff_percent,duration_ratio,name_score,duration_score,total_score,match_quality
2024-09-02_23-22-31,390.5,2024-09-02_23-22-31.mid,384.0375,6.462499999999977,1.654929577464783,0.9834507042253522,100.0,98.34507042253522,100.0,perfect
2024-09-04_19-09-38,335.85,2024-09-04_19-09-38.mid,331.71666666666664,4.133333333333383,1.2307081534415312,0.9876929184655847,100.0,98.76929184655847,100.0,perfect
2024-04-08_23-42-45,267.1,2024-04-08_23-42-45.mid,265.96666666666664,1.1333333333333826,0.4243104954449205,0.9957568950455508,100.0,99.57568950455507,100.0,perfect
2024-09-02_18-29-40,208.65,2024-09-02_18-29-40.mid,187.69375,20.95625000000001,10.04373352504194,0.8995626647495806,100.0,89.95626647495806,100.0,perfect
2024-04-08_22-49-18,177.65,2024-04-08_22-49-18.mid,173.56041666666667,4.089583333333337,2.302045220001878,0.9769795477999812,100.0,97.69795477999811,100.0,perfect
2024-09-02_23-49-01,793.6,2024-09-02_23-49-01.mid,789.0041666666666,4.595833333333417,0.5791120631720534,0.9942088793682795,100.0,99.42088793682795,100.0,perfect
2024-09-04_16-13-44,327.9,2024-09-04_16-13-44.mid,316.37916666666666,11.520833333333314,3.5135203822303493,0.9648647961776965,100.0,96.48647961776965,100.0,perfect
2024-09-04_17-12-33,422.9,2024-09-04_17-12-33.mid,418.50104166666665,4.398958333333326,1.0401887759123496,0.9895981122408765,100.0,98.95981122408764,100.0,perfect
2024-09-02_15-15-09,513.1,2024-09-02_15-15-09.mid,506.4791666666667,6.620833333333337,1.2903592542064581,0.9870964074579354,100.0,98.70964074579354,100.0,perfect
2024-09-04_20-09-07,564.3,2024-09-04_20-09-07.mid,567.4125,3.112500000000068,0.5485427268521698,0.9945145727314783,100.0,99.45145727314782,100.0,perfect
